Date_time,CO2_PPM,CO2_SD,H2O_PPM,H2O_SD,Tem_C
  02/17/2017 09:50:00.652,430.939,0,13334.4,0,23.7306
  02/17/2017 09:50:02.466,430.956,0,13325.6,0,23.7528
  02/17/2017 09:50:03.366,430.931,0,13239.4,0,23.753
  02/17/2017 09:50:04.266,430.874,0,13386.6,0,23.7617
  02/17/2017 09:50:05.166,432.914,0,13407.4,0,23.7633
  02/17/2017 09:50:06.066,434.61,0,13059.3,0,23.7717
  02/17/2017 09:50:06.966,434.54,0,12843.2,0,23.7742
  02/17/2017 09:50:07.874,433.892,0,12840,0,23.782
  02/17/2017 09:50:08.770,434.009,0,12899.7,0,23.7895
  02/17/2017 09:50:09.794,432.891,0,13324,0,23.7901
  02/17/2017 09:50:10.826,431.787,0,13299,0,23.7985
  02/17/2017 09:50:11.859,433.257,0,13356.4,0,23.8
  02/17/2017 09:50:12.886,433.727,0,13031.9,0,23.8082
  02/17/2017 09:50:13.910,434.421,0,12750.2,0,23.814
  02/17/2017 09:50:14.942,433.944,0,12806.4,0,23.8196
  02/17/2017 09:50:16.866,433.673,0,12910.1,0,23.846
  02/17/2017 09:50:17.766,433.253,0,13306.3,0,23.8462
  02/17/2017 09:50:18.666,432.057,0,13299.5,0,23.8537
  02/17/2017 09:50:19.566,431.542,0,13236.7,0,23.8613
  02/17/2017 09:50:20.466,429.997,0,13133,0,23.8656
  02/17/2017 09:50:21.366,431.883,0,13284.3,0,23.8743
  02/17/2017 09:50:22.270,430.82,0,13212,0,23.8766
  02/17/2017 09:50:23.171,431.21,0,13112.9,0,23.8857
  02/17/2017 09:50:24.178,430.776,0,13162.7,0,23.8862
  02/17/2017 09:50:25.203,434.633,0,12775.4,0,23.8895
  02/17/2017 09:50:26.230,434.503,0,12775.4,0,23.897
  02/17/2017 09:50:27.255,434.428,0,12866.8,0,23.8989
  02/17/2017 09:50:28.282,434.215,0,12938.1,0,23.9073
  02/17/2017 09:50:29.306,431.966,0,13040.5,0,23.9098
  02/17/2017 09:50:30.334,434.898,0,12915.5,0,23.9159
  02/17/2017 09:50:32.166,433.134,0,13130.1,0,23.9338
  02/17/2017 09:50:33.066,433.148,0,12838,0,23.9319
